Provider ID,Score,ScoreBin,Hospital Name,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Efficient use of medical imaging national comparison,Hospital,Cleanliness,Nurses,Doctors,HelpWhenNeeded,PainControl,ExplainMeds,RecoveryInfo,UnderstandCare,Rating,Quiet,Recommend,HAI2,HAI3,HAI4,HAI5,HAI6,Aggregate_Inf,PAYM_30_AMI,PAYM_30_HF,PAYM_30_PN,PayPerBenAvg,COMP_HIP_KNEE,PSI_12_POSTOP_PULMEMB_DVT,PSI_13_POST_SEPSIS,PSI_14_POSTOP_DEHIS,PSI_15_ACC_LAC,PSI_3_ULCER,PSI_4_SURG_COMP,PSI_6_IAT_PTX,PSI_7_CVCBI,PSI_8_POST_HIP,PSI_90_SAFETY,MORT_30_AMI,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,READM_30_AMI,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,OP_12 eLab_Rec,OP_17_TrackMedInfo,OP_25_CHECK_OP,SM_PART_GEN_SURG,SM_PART_NURSE,SM_SS_CHECK_IP,SumStruct,ED_IP_Throughput,EDV,IMM__PT,IMM_Workers,ED_OP_Throughput,TimeToEval,TimeToPainMed,LeftBeforeTreat,Endoscopy polyp surveillance  appropriate follow-up interval for normal colonoscopy in average risk patients,AspirinCP,TimeToECG,ElectiveEarlyDelivery,AppropStrokeCare,HospVTE
490118,4,0,HENRICO DOCTORS' HOSPITAL,23229,Acute Care Hospitals,Proprietary,1,1,Same as the national average,490118,69,80,82,67,72,63,87,52,73,59,77,0.789577576,59.19003115,12.23776224,0.056377731,0.702004613,0.500653233,22561,15460,14364,17461.66667,2.8,5.74,6.88,2.51,0.97,0.36,146.18,0.29,0.21,0.06,0.77,11.6,8.4,11.1,18.5,13.5,15.4,20.6,19.8,4.9,15.7,17.7,11.3,1,1,1,0,1,1,5,210,4,100,87,102,5,20,0,99,,,0,100,0
490119,4,0,SENTARA PRINCESS ANNE HOSPITAL,23456,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,490119,62,80,81,64,73,58,92,52,81,67,81,0.305670182,11.9047619,34.48275862,0.051374261,0.732600733,0.385221502,25625,14885,15447,18652.33333,2.4,6.54,7.52,2.09,1.22,0.1,127.34,0.27,0.26,0.06,0.86,12.4,9.3,9.6,13.9,12.6,16.9,19.6,21.3,4.3,15.2,17.2,14.5,1,1,1,0,1,1,5,378,4,93,81,196,53,30,3,98,98,7,3,,11
490143,4,0,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG,23185,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,490143,74,81,85,74,72,70,87,59,82,72,84,0,0,0,0,0.556792873,0.253571127,,15015,14204,14609.5,2.7,3.89,,2.25,1,0.36,,0.45,0.16,0.06,0.72,,8.3,10.8,13.5,16.1,,20.1,20.3,4.4,15,14.9,12.3,1,1,1,0,1,1,5,212,1,100,98,139,32,29,1,95,100,8,,,
500001,4,0,NORTHWEST HOSPITAL,98133,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,500001,73,79,82,66,71,65,89,56,75,52,79,1.102709515,10.30927835,0,0,1.503951058,0.769001217,20215,15301,14012,16509.33333,2.7,3.96,9.75,2.11,1.17,0.12,152.31,0.36,0.21,0.06,0.73,15.1,7.5,14.2,18.7,16.6,17.8,18,20.1,4.7,14.2,15,10.1,1,1,1,1,1,1,6,349,2,90,80,184,32,67,2,86,,,0,97,
500005,4,0,VIRGINIA MASON MEDICAL CENTER,98101,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,500005,74,81,85,68,72,67,90,58,80,52,84,1.580573317,31.67420814,0,0.045694789,0.883432593,0.618369703,22891,15489,13611,17330.33333,2.8,4.26,7.71,2.35,1.17,0.1,96.82,0.48,0.09,0.06,0.74,12.5,7.8,13,12.4,15.8,17.6,19.9,19.8,4.1,15.4,16.1,11.3,1,1,1,1,1,1,6,237,2,98,100,155,16,46,2,95,,,,100,0
500007,4,0,ISLAND HOSPITAL,98221,Acute Care Hospitals,Government,1,1,Same as the national average,500007,79,80,78,71,72,68,89,54,80,60,83,0,0,0,0,0.854518265,0.370147596,20859,15225,14911,16998.33333,3.5,4.5,11.99,2.2,1.45,0.28,,0.44,0.15,0.06,0.86,14.6,7.8,13.5,14.8,14.2,17.9,20.6,21.3,4.1,15,17.1,12.2,1,1,1,1,1,1,6,238,1,96,90,146,28,83,2,85,89,13,2,,
500016,4,0,CENTRAL WASHINGTON HOSPITAL,98807,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,500016,77,81,84,68,68,66,90,55,77,59,81,0.622761949,0,0,0,0.493382243,0.262911895,19776,14573,13746,16031.66667,2.2,3.19,6.51,1.85,0.83,0.58,174.18,0.42,0.18,0.06,0.62,13.8,9.7,14.3,21.4,15.5,14.7,16.9,18.7,3.5,13.9,14.7,12.7,1,1,1,1,1,1,6,216,,93,94,136,27,41,,,,,0,83,0
500030,4,0,ST JOSEPH MEDICAL CENTER,98225,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,500030,69,77,80,61,72,61,88,50,71,45,74,0.615258409,11.23595506,0,0.047791248,0.437183245,0.282416594,21606,15666,14011,17094.33333,2.7,3.68,8.09,1.97,1.6,0.7,129.81,0.34,0.1,0.06,0.82,14.7,9.7,14.5,15.5,14.8,16.5,17.8,18.1,4.1,13.4,14.6,12.7,0,0,1,1,1,1,4,300,4,87,85,175,42,73,2,,,,2,69,17
500150,4,0,LEGACY SALMON CREEK MEDICAL CENTER,98686,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,500150,73,81,84,71,71,69,93,59,81,64,83,0.477023374,40,0,0.017823723,0.738202949,0.4156204,20832,14674,15124,16876.66667,2.2,2.67,11.54,2.13,1.44,0.17,117.69,0.32,0.13,0.06,0.7,16.3,8.5,13.2,15.9,15.7,17.5,17,22.9,4,14.3,17.2,13.1,1,1,1,0,1,1,5,285,4,98,81,178,36,50,3,100,97,9,5,83,0
520002,4,0,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT,54481,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520002,75,83,85,69,73,71,91,59,75,67,72,1.201201201,68.96551724,0,0,0.128443902,0.235876872,20689,15129,14440,16752.66667,3,3.55,11.47,2.22,1.64,0.27,,0.36,0.14,0.06,0.82,14.6,6.4,10.9,13.2,14.8,16.3,20.7,22.4,5.1,15.4,18.2,12.3,1,1,1,1,0,1,5,205,1,96,97,142,12,28,0,100,100,9,8,,
520004,4,0,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,54601,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520004,74,81,82,68,72,64,89,57,76,54,78,1.842893343,21.50537634,55.55555556,0,0.684793555,0.492983784,22587,13981,13809,16792.33333,3,3.78,13.45,2.13,1.11,0.79,131.23,0.48,0.22,0.06,0.81,14.9,10,12.2,17.7,13.7,16.1,20.4,17.8,5.9,15.5,17.3,10.9,1,1,1,1,1,1,6,206,2,99,86,132,10,35,1,92,,,2,82,
520008,4,0,WAUKESHA MEMORIAL HOSPITAL,53188,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520008,77,80,81,62,68,63,88,52,75,66,76,0.540540541,5.882352941,22.02643172,0.01755279,0.76394194,0.429941475,26406,16766,15083,19418.33333,3.6,4.41,11.63,2.03,1.48,0.35,136.9,0.3,0.11,0.06,0.83,14.3,10,13.8,16.7,14.5,17,18.6,21,4.4,14.2,17.6,11.5,1,1,1,1,1,1,6,219,3,96,99,148,14,40,0,97,,,2,100,
520009,4,0,ST ELIZABETH HOSPITAL,54915,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520009,73,79,82,66,71,66,90,55,78,72,79,0.282485876,26.08695652,0,0.026608483,0.27011615,0.187561962,23453,14377,14147,17325.66667,3.1,3.73,9.93,2.17,1.24,0.27,170.27,0.36,0.14,0.06,0.73,15,7.9,11.6,17.9,16,15.9,21,20.8,5,15.3,17.5,12.1,0,0,0,0,0,0,0,208,2,100,97,115,17,33,1,94,,,5,,
520011,4,0,LAKEVIEW MEDICAL CENTER,54868,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520011,78,76,81,69,71,69,89,55,75,60,78,0,38.46153846,0,0,0,0.05845902,,13682,15316,14499,2.7,3.04,,,1.36,0.41,,0.38,0.16,0.06,0.73,,8.1,11.7,17.1,14.9,,21.1,20.8,4,14.7,16,11.7,1,1,0,0,0,0,2,215,1,98,99,126,20,35,1,100,100,2,0,,
520013,4,0,SACRED HEART HOSPITAL,54701,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520013,77,82,82,69,72,69,87,55,76,56,76,0.730079266,8,0,0,1.047486034,0.552420787,21858,16107,14725,17563.33333,3.7,6.89,9.47,1.99,1.86,0.16,161.77,0.41,0.11,0.06,1.06,12.8,7.2,11.8,17.2,16.3,14.8,17.5,19.3,4.5,14.6,17.7,10.9,1,1,1,0,0,1,4,208,2,98,81,151,23,60,2,98,,,6,,5
520017,4,0,ST JOSEPHS HOSPITAL,54729,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520017,79,88,87,80,75,65,91,61,81,69,79,0,0,0,0,0.299266796,0.145433392,,15406,13127,14266.5,2.9,4.1,9.95,2.25,1.26,0.38,,0.39,0.14,0.06,0.77,,8.4,12.6,14.3,,,20.4,21.5,4.1,15.6,16.8,,1,1,1,0,0,1,4,229,1,98,79,136,19,49,1,81,100,10,2,,
520028,4,0,THE MONROE CLINIC,53566,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520028,81,87,84,79,76,72,91,60,83,71,79,0.583771162,0,0,0,0.966884216,0.475134621,20918,13646,13172,15912,2.7,4.23,9.2,2.17,2.18,0.24,145.44,0.35,0.13,0.06,0.97,13.1,8.3,11.4,13.8,17.9,16.3,17.2,20,4.7,15.2,15.2,11.6,1,1,1,0,1,1,5,209,2,93,97,143,16,39,0,81,100,11,6,,
520034,4,0,AURORA MEDICAL CTR MANITOWOC COUNTY,54241,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520034,88,87,83,74,74,74,89,59,78,65,81,0,55.55555556,0,0,0.302434599,0.201843504,22464,13765,14082,16770.33333,3.2,4.67,,2.26,1.08,0.35,,0.38,0.16,0.06,0.77,14,8.2,13.4,16.4,13,16.9,17.1,19.6,4.9,14.2,16.5,11.6,1,1,1,0,1,1,5,180,1,97,97,108,14,43,0,95,95,5,2,,
520035,4,0,AURORA SHEBOYGAN MEMORIAL MEDICAL CTR,53083,Acute Care Hospitals,Voluntary Non-Profit,1,0,Same as the national average,520035,78,83,85,76,73,70,92,56,74,64,75,0.423370025,26.66666667,0,0,0.2098746,0.161573262,20911,15185,14587,16894.33333,2.5,2.56,9.89,2.21,1.6,1.03,,0.36,0.15,0.06,0.8,14.6,9,12.7,15.9,15.7,16,18.7,19,3.8,14.3,16.1,12.1,1,1,1,1,1,1,6,192,2,97,99,122,6,24,1,95,100,4,0,,
520038,4,0,AURORA MEDICAL CTR WASHINGTON COUNTY,53027,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520038,78,82,87,77,76,71,91,57,74,56,69,2.909796314,0,0,0,1.644736842,0.999417007,21971,15269,13987,17075.66667,3,5.66,,,1.16,0.36,,0.39,0.16,0.06,0.85,14.8,9.3,11.4,15.5,,,19.3,22.8,4.5,14.6,16.3,,1,1,1,1,1,1,6,182,1,99,98,118,3,22,0,97,100,4,,,
520048,4,0,MERCY MEDICAL CENTER OF OSHKOSH,54904,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520048,70,79,82,67,69,67,90,56,73,55,74,1.302083333,24.3902439,0,0,0.680566726,0.434652685,24539,15639,13884,18020.66667,2,2.89,9.66,2.24,2.05,0.29,,0.43,0.15,0.06,0.88,12.8,8,11.9,17.1,18,17.2,20.4,20.5,4.3,14.5,16,11.2,0,0,0,0,0,0,0,203,1,100,97,109,16,33,1,93,,,1,,
520049,4,0,BELLIN MEMORIAL HOSPITAL,54305,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520049,76,87,87,73,75,73,91,60,83,66,86,0.772200772,42.37288136,0,0,0.664367743,0.420338793,23087,15401,14426,17638,1.8,2.86,8.13,2.04,1.89,0.66,135.03,0.56,0.12,0.06,0.88,11.2,8.6,12.8,18.1,14.9,15.3,19.2,19.4,3.5,14.2,16.7,11.4,1,1,1,1,1,1,6,201,2,96,93,132,22,37,0,98,,,3,100,
520057,4,0,ST CLARE HOSPITAL,53913,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520057,82,84,82,81,70,69,93,62,82,71,80,2.232142857,0,0,0,0,0.134318334,,15200,12708,13954,2.7,4.34,,,1.55,0.37,,0.4,0.16,0.06,0.87,,7.8,11.3,17.7,16,,19.9,20.7,4.5,14.6,15.1,11.7,1,1,1,0,1,1,5,181,2,99,99,112,9,33,0,100,99,7,4,,
520059,4,0,AURORA MEMORIAL HOSPITAL BURLINGTON,53105,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520059,75,79,79,64,71,65,89,55,63,58,63,0,21.73913043,0,0,0.959590575,0.476167802,22822,16726,14105,17884.33333,3.5,3.65,10.56,2.19,0.86,1.67,127.82,0.37,0.15,0.06,0.75,13.7,9.6,11.7,16,17,16.7,19.6,21.5,4.9,14.4,17.2,11.9,1,1,1,1,1,1,6,193,1,99,97,126,6,25,0,97,100,2,,,
520062,4,0,OCONOMOWOC MEMORIAL HOSPITAL,53066,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520062,77,82,83,69,68,70,88,55,76,71,77,0,52.63157895,0,0,0.633111744,0.377483131,26001,16514,14711,19075.33333,2.6,4.01,11.38,2.25,1.59,0.29,,0.48,0.15,0.06,0.87,13.5,9.6,14.2,14.5,15.1,16.4,19.7,22.6,3.8,14.9,16.4,11.7,1,1,1,0,1,1,5,228,1,98,99,141,13,36,0,,,,0,,
520071,4,0,FORT MEMORIAL HOSPITAL,53538,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520071,82,86,86,72,73,73,91,57,78,67,73,0,0,0,0,0.899118864,0.404334465,,13730,14207,13968.5,2.1,4.37,9.78,2.24,1.45,0.37,,0.39,0.16,0.06,0.83,,7.7,13,17,17.3,,19.3,20.4,4.3,14.2,15.1,12.1,1,1,1,0,0,1,4,220,1,94,91,142,25,44,1,79,97,8,0,,
520076,4,0,BEAVER DAM COMMUNITY HOSPITAL,53916,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520076,84,84,82,77,74,73,89,53,71,59,65,0,0,0,0,0.272851296,0.111086425,,15120,13944,14532,3.2,4.77,,2.27,1.35,0.4,,0.39,0.29,0.06,0.86,,8.9,13.4,16.3,15.6,,17.8,21.8,4.4,14.9,15.6,12,1,1,1,0,0,1,4,238,1,100,97,128,17,38,0,100,97,6,4,,
520087,4,0,GUNDERSEN LUTHERAN MEDICAL CENTER,54601,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520087,76,83,83,68,67,70,91,58,83,62,84,1.170731707,16.32653061,0,0.035828168,0.306572923,0.24511584,23090,15575,14373,17679.33333,2.3,1.95,8.99,1.98,2.2,1.44,169.21,0.49,0.09,0.06,0.94,14.9,9.8,13.5,16.9,17,16.2,19.1,20.5,3.4,14.7,15.9,11.4,1,1,1,1,1,1,6,216,3,97,91,147,17,42,1,87,,,2,92,
520091,4,0,HOWARD YOUNG MEDICAL CTR,54568,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,520091,70,81,81,69,70,68,92,56,73,53,75,0,0,0,0,0.495687519,0.225631769,,15673,14288,14980.5,3.1,4.38,9.25,2.15,0.94,0.29,,0.38,0.15,0.06,0.7,,7.9,11.6,15.6,15.7,,18.9,21.3,4.5,15.1,15,11.3,1,1,1,0,0,1,4,220,1,94,98,134,22,52,1,,100,6,0,,
520098,4,0,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,53792,Acute Care Hospitals,Government,1,1,Above the national average,520098,78,83,84,65,72,69,91,57,82,66,84,1.436506416,41.88481675,2.247191011,0.065906545,0.974634972,0.614932314,22880,16020,13924,17608,2.7,3.97,6.3,1.8,1.56,1.52,104.42,0.29,0.49,0.06,0.92,12.8,10.2,11.6,16.2,17.5,16.3,18.4,20.9,4.3,15.1,16.8,11.7,1,1,1,1,1,1,6,288,3,98,90,214,20,52,1,98,,,,,0
520102,4,0,AURORA LAKELAND MEDICAL CENTER,53121,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520102,76,84,84,72,71,65,90,55,73,60,72,1.837109614,0,0,0,0.326441785,0.280308339,22529,15274,14768,17523.66667,3.4,3.54,,2.24,0.96,0.31,,0.38,0.15,0.06,0.66,14.5,9.2,13.4,15.7,15.8,15.9,19.7,21,4.1,14.4,15.7,10.9,1,1,1,1,1,1,6,175,1,100,97,123,14,26,0,94,98,4,1,,
520107,4,0,HOLY FAMILY MEMORIAL,54221,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520107,74,79,81,65,71,62,89,54,71,53,68,0.580046404,0,0,0,0.233018758,0.154926668,23129,16418,13730,17759,2.7,5.31,9.25,2.26,1.46,0.32,,0.37,0.16,0.06,0.88,16.4,8.5,11.1,14.7,14.6,16.4,20.5,19,4.3,14.3,16.4,12.1,1,1,1,0,0,1,4,160,1,93,96,88,21,48,0,100,,,5,,
520113,4,0,BAY AREA MEDICAL CENTER,54143,Acute Care Hospitals,Voluntary Non-Profit,1,0,Same as the national average,520113,81,85,84,77,73,64,87,52,67,62,62,1.180637544,19.60784314,0,0.082068117,0.852514919,0.565845562,21602,16009,15415,17675.33333,3.6,3.8,9.32,2.2,1.04,0.22,,0.4,0.14,0.06,0.69,13.9,6.7,11.6,16,15.7,16.7,19.9,22.1,4.5,15.2,15.8,11.4,1,1,1,0,0,1,4,199,2,95,99,129,17,50,1,95,98,2,0,,
520116,4,0,WATERTOWN REGIONAL MEDICAL CENTER,53098,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520116,80,81,78,71,69,62,89,51,74,65,69,1.800180018,0,0,0,0,0.132318889,,15990,15035,15512.5,2.8,5.02,9.52,2.78,1.21,0.36,,0.38,0.16,0.06,0.82,,7.9,11.9,16.7,14.8,,17.9,22.5,4,14.6,16.3,11.5,1,1,1,0,0,1,4,218,1,99,97,144,20,40,0,94,97,8,0,,
520138,4,0,AURORA ST LUKES MEDICAL CENTER,53215,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520138,72,81,81,62,72,64,88,55,73,55,74,1.864898467,23.45415778,11.26760563,0.02735358,1.053370787,0.64939898,23616,16714,14048,18126,2.6,4.7,6.4,1.9,1.71,0.64,133.15,0.88,0.14,0.06,1.01,11.6,5.4,11.1,11.4,14.5,16.6,20,20.9,5.1,14.9,17.6,11.1,1,1,1,1,1,1,6,203,4,92,99,140,15,37,2,100,,,2,90,1
520139,4,0,AURORA WEST ALLIS MEDICAL CENTER,53227,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520139,75,80,79,64,70,61,90,53,74,63,75,0.155327742,25.64102564,13.12335958,0,0.418818931,0.238241939,23268,16538,14301,18035.66667,3.2,3.58,7.19,2.12,1.88,0.14,135.66,0.33,0.12,0.06,0.83,12.5,8.2,13.6,14.1,15.2,15.9,21.2,20.5,5.4,15,16.3,11.8,1,1,1,1,1,1,6,207,2,99,99,150,18,39,1,97,98,4,3,,
520189,4,0,AURORA MEDICAL CTR KENOSHA,53142,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520189,75,80,83,73,73,66,89,54,75,60,76,0.496401092,33.33333333,0,0,0.483471324,0.337916872,25400,16009,15394,18934.33333,3.3,5.01,9.2,2.17,1.32,1.4,127.39,0.42,0.14,0.06,0.92,13.8,8.1,11.8,16.1,16.6,,18.8,22.7,4.7,14.2,18.3,12.8,1,1,1,1,1,1,6,199,1,99,98,133,10,33,11,100,97,6,0,,0
520193,4,0,AURORA BAYCARE MEDICAL CTR,54311,Acute Care Hospitals,Proprietary,1,1,Same as the national average,520193,83,82,82,74,73,69,90,59,78,64,83,0.429307384,40,9.852216749,0.028138894,0.612369871,0.419451736,24151,16629,14371,18383.66667,2.3,5.72,11.65,2.06,1.18,0.77,141.44,0.48,0.12,0.06,0.91,14.1,7.2,12.2,18,14.4,17.3,18.1,21.8,4.6,15.5,16.6,12,1,1,1,0,1,1,5,152,3,96,99,112,12,33,0,100,,,0,,
520198,4,0,AURORA MEDICAL CTR OSHKOSH,54904,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520198,79,82,83,74,72,68,90,60,77,61,78,0,0,0,0,0.16836434,0.072361518,22959,15830,13151,17313.33333,3,5.57,,2.25,0.93,1.05,,0.37,0.15,0.06,0.83,13.3,8.3,14,16.3,16.1,15.7,18.6,19.8,5,14.7,16.2,12.5,1,1,1,0,1,1,5,219,1,96,100,132,13,34,0,97,,,0,,
520204,4,0,WHEATON FRANCISCAN HEALTHCARE FRANKLIN,53132,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520204,75,84,80,73,77,65,89,55,82,69,83,1.363636364,20.40816327,0,0,1.213199612,0.704068776,,17530,15086,16308,,4.85,,2.81,1.46,0.28,,0.38,0.16,0.06,0.86,,8.7,10.7,15.9,,,19.5,21.9,,15.1,15.4,,1,1,1,0,1,1,5,221,3,99,98,148,18,35,2,63,,,,,
520206,4,0,AURORA MEDICAL CENTER,53066,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520206,76,81,85,69,71,65,89,57,77,67,78,1.185302252,55.55555556,0,0.144425188,0.789515238,0.583831307,21973,14943,15609,17508.33333,2.7,4.94,10.71,2.22,1.18,1.07,,0.43,0.15,0.06,0.88,13.2,9.3,11.8,14,13.9,16.7,19.7,19.2,4.4,15,16.4,11.3,1,1,1,1,1,1,6,170,1,95,96,103,4,32,0,100,,,0,,
520207,4,0,AURORA MEDICAL CENTER,53024,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,520207,77,86,83,74,74,69,90,61,83,63,84,0.771208226,0,0,0,0.823412358,0.415768402,23983,17232,15248,18821,3.1,2.81,9.71,2.12,2.88,0.79,140.01,0.37,0.13,0.06,1.09,11.8,8.8,12.4,12.7,15.1,17,20.8,21.1,4.5,14.5,18.6,11.8,1,1,1,1,1,1,6,177,1,95,98,138,6,31,0,100,,,0,,0
520208,4,0,ST MARYS JANESVILLE HOSPITAL,53546,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,520208,82,80,82,65,70,71,90,56,79,67,82,0.628535512,21.73913043,0,0.061481709,0.245926837,0.204714277,,16956,16975,16965.5,3.6,3.65,9.05,2.21,1.41,0.31,,0.39,0.15,0.06,0.77,,8,11.7,14.9,12.9,,20.3,23.6,5.1,15.7,17.2,12.2,1,1,1,0,0,1,4,188,1,97,96,112,8,31,0,100,100,7,2,,
530015,4,0,ST JOHNS MEDICAL CENTER,83001,Acute Care Hospitals,Government,1,1,Same as the national average,530015,83,86,87,72,76,73,90,59,84,64,83,0.995024876,0,0,0,0.679117148,0.389195921,,14322,12968,13645,2.8,4.24,9.38,2.26,1.34,0.38,,0.39,0.16,0.06,0.8,,6.9,11.3,16.4,14.4,,19.5,21.9,4.5,14.9,15.8,12.7,1,1,1,0,0,1,4,181,1,99,90,100,12,38,0,99,100,8,7,,
530025,4,0,IVINSON MEMORIAL HOSPITAL,82072,Acute Care Hospitals,Government,1,1,Below the national average,530025,74,80,78,71,69,65,90,53,74,63,71,0,117.6470588,0,0,0.341821911,0.313258673,,13734,13420,13577,2.9,3.67,11,2.83,1.37,1.2,,0.39,0.16,0.06,0.85,,7.6,11.7,14.2,15,,19.2,21.2,4.4,15.2,16.9,,1,1,1,0,0,1,4,186,1,95,93,111,8,30,0,23,100,3,2,,
670004,4,0,ST MARKS MEDICAL CENTER,78945,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,670004,71,81,85,70,71,63,87,58,71,65,77,0,0,0,0,0,0,,17176,16472,16824,3.8,3.7,9.87,2.27,1.58,0.34,,0.46,0.16,0.06,0.84,14.5,10.2,12.3,13.7,14.1,,19.1,21.6,5,14.9,16.3,11.3,1,1,1,0,0,1,4,202,1,100,99,109,25,62,2,60,97,8,14,,
670006,4,0,THE HOSPITAL AT WESTLAKE MEDICAL CENTER,78746,Acute Care Hospitals,Proprietary,1,1,Not Available,670006,79,78,86,76,76,71,90,56,80,78,79,0,0,,0,0,0,,,13239,13239,2.3,7.92,9.08,,1.28,0.38,,0.39,0.17,0.06,1.01,,,,12.9,,,20,22.2,4.3,14.5,15.8,,1,1,1,0,0,1,4,206,1,99,80,97,9,24,0,100,,,,,
670031,4,0,ST LUKE'S PATIENTS MEDICAL CENTER,77505,Acute Care Hospitals,Physician,1,1,Same as the national average,670031,72,74,74,64,66,52,85,49,71,63,77,0.599790073,13.69863014,0,0,0.65824118,0.382160737,25099,18506,19282,20962.33333,4,5.45,8.12,2.2,0.93,0.19,,0.51,0.25,0.06,0.79,13.5,7.6,10.9,16.2,14.4,16.3,19.6,21.7,5.4,13.2,12.9,12.2,1,1,1,0,0,1,4,380,1,98,77,183,30,54,1,75,,,,,
670034,4,0,SCOTT & WHITE HOSPITAL-ROUND ROCK,78664,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,670034,80,80,85,65,72,69,87,60,80,65,80,0,0,54.05405405,0,0.865085919,0.438885232,22204,17941,14417,18187.33333,2.4,4,9.68,2.16,1.27,0.21,132,0.56,0.13,0.06,0.79,14.6,7,11.5,13.6,14.3,15.5,19.1,21,4.2,15.9,17.8,13.7,1,1,1,0,1,1,5,214,2,99,100,134,20,48,1,98,,,0,,
670056,4,0,SETON MEDICAL CENTER HAYS,78640,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,670056,71,78,81,65,73,70,89,52,77,59,76,0.636537237,37.5,0,0,0.654093535,0.382165605,24558,17189,15378,19041.66667,3.8,5.18,9.47,2.79,1.5,1.11,131.85,0.38,0.13,0.06,0.95,13.5,7.9,11.3,14.6,15,17.8,20.5,21.1,4.9,15.1,16.6,13.4,1,1,1,0,1,1,5,273,2,100,74,196,25,55,4,93,,,0,100,
670061,4,0,SOUTH TEXAS SURGICAL HOSPITAL,78414,Acute Care Hospitals,Proprietary,1,1,Not Available,670061,84,86,88,72,77,72,89,65,82,84,84,0,20,0,0.352982704,0,0.317258883,,,,,2.8,3.12,9.12,2.24,1.26,0.44,,0.46,0.17,0.06,0.73,,,,,,,,,5.2,15.7,,,1,1,1,0,0,1,4,137,1,99,78,82,17,,1,71,,,,,
670068,4,0,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,75028,Acute Care Hospitals,Proprietary,1,1,Same as the national average,670068,83,80,83,70,72,66,88,59,81,71,81,0.300932892,23.25581395,0,0.037467216,0.592633115,0.325770351,22884,19550,17247,19893.66667,3,5.79,9.19,2.21,1.44,0.26,119.53,0.42,0.15,0.06,0.91,13.6,7.1,12.2,14.3,14.6,,20.8,21.8,5.1,15.8,19.7,11.7,1,1,1,0,1,1,5,270,1,99,93,174,20,40,0,91,98,7,4,,
